tmdb_id,film_title,track_id,track_number,track_title,recording_artist_credit,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner,lfm_track_listeners,lfm_track_playcount,track_title_cleaned,spotify_track_id,spotify_url,spotify_popularity,key,mode,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,log_lfm_track_playcount,composer_primary_clean,film_is_war,film_is_documentary,film_is_history,film_is_science_fiction,film_is_tv_movie,film_is_adventure,film_is_music,film_is_crime,film_is_fantasy,film_is_horror,film_is_thriller,film_is_drama,film_is_animation,film_is_romance,film_is_mystery,film_is_action,film_is_comedy,film_is_family,film_is_western
280217,The Lego Movie 2: The Second Part,27410063,13,The Systar System,Mark Mothersbaugh,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,260.0,468.0,The Systar System,15ZWPwzHGE1WNF4otpFLsa,https://open.spotify.com/track/15ZWPwzHGE1WNF4otpFLsa,2.0,C,major,8B,75.0,45.0,47.0,51.0,2.0,0.0,9.0,3.0,-5.0,6.148468295917647,Mark Mothersbaugh,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False
398175,Brawl in Cell Block 99,28369876,3,You Are Yesterday,Butch Tavares,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,296.0,1240.0,You Are Yesterday,2RyMLUNWD449nzcBvXZi3h,https://open.spotify.com/track/2RyMLUNWD449nzcBvXZi3h,6.0,Bb,major,6B,132.0,55.0,42.0,20.0,49.0,0.0,6.0,4.0,-6.0,7.122866658599083,S. Craig Zahler,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
739405,Operation Fortune: Ruse de Guerre,42388812,10,Cat Follows Mouse,Chris Benstead,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.0,225.0,Cat Follows Mouse,7Kbj4CWjcofhfl1ZF4KRWT,https://open.spotify.com/track/7Kbj4CWjcofhfl1ZF4KRWT,6.0,G,major,9B,123.0,54.0,48.0,25.0,59.0,86.0,15.0,4.0,-15.0,5.41610040220442,Chris Benstead,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
664469,Amsterdam,40113790,44,Dinah,Reunion Gala Band,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,184.0,329.0,Dinah,57WaC69UySM1IihW92KuyR,https://open.spotify.com/track/57WaC69UySM1IihW92KuyR,6.0,D,minor,7A,127.0,26.0,61.0,66.0,97.0,47.0,24.0,6.0,-16.0,5.796057750765372,Daniel Pemberton,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
513045,Stuber,28675088,18,It Was a Lease,Joseph Trapanese,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,37.0,42.0,It Was a Lease,7odptlwKl4t9bsKq1olxHD,https://open.spotify.com/track/7odptlwKl4t9bsKq1olxHD,0.0,D,major,10B,138.0,30.0,36.0,23.0,82.0,0.0,11.0,3.0,-10.0,3.737669618283368,Joseph Trapanese,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
315162,Puss in Boots: The Last Wish,40811375,14,Getaway,Heitor Pereira,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2247.0,9725.0,Getaway,7L6Nmy4PVjcvz6GTKwUZpJ,https://open.spotify.com/track/7L6Nmy4PVjcvz6GTKwUZpJ,24.0,G,minor,6A,122.0,24.0,65.0,50.0,90.0,0.0,20.0,12.0,-18.0,9.182455168486648,Heitor Pereira,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
585244,I Still Believe,30649879,11,You Call I'll Answer,David Leonard,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,314.0,2102.0,You Call I'll Answer,7H1LFrSvQuv31Owy8WfkuK,https://open.spotify.com/track/7H1LFrSvQuv31Owy8WfkuK,26.0,E,major,12B,138.0,28.0,34.0,17.0,73.0,0.0,10.0,3.0,-6.0,7.650644551436897,Jeremy Camp,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
315635,Spider-Man: Homecoming,23123819,22,Spider-Man: Homecoming Suite,Michael Giacchino,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,54.0,Spider-Man: Homecoming Suite,0z5hFntLvshhm7j8F0aijm,https://open.spotify.com/track/0z5hFntLvshhm7j8F0aijm,40.0,F,major,7B,145.0,27.0,20.0,6.0,63.0,70.0,15.0,4.0,-14.0,3.9889840465642745,Michael Giacchino,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1226578,Longlegs,47675573,15,Mr. Downstairs,Zilgi,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1417.0,2814.0,Mr. Downstairs,0oJs3DTdyOXuKYTDe7xJsU,https://open.spotify.com/track/0oJs3DTdyOXuKYTDe7xJsU,11.0,C,major,8B,86.0,9.0,14.0,5.0,84.0,91.0,10.0,4.0,-29.0,7.942362237674335,Elvis Perkins,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False
443463,Leave No Trace,26268230,14,Bus Out of Town,Dickon Hinchliffe,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,197.0,451.0,Bus Out of Town,3hoHWEvurmUQd2ZwnwD2qM,https://open.spotify.com/track/3hoHWEvurmUQd2ZwnwD2qM,2.0,A,minor,8A,117.0,31.0,68.0,40.0,57.0,4.0,11.0,3.0,-14.0,6.111467339502679,Dickon Hinchliffe,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
