tmdb_id,film_title,track_id,track_number,track_title,recording_artist_credit,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner,lfm_track_listeners,lfm_track_playcount,track_title_cleaned,spotify_track_id,spotify_url,spotify_popularity,key,mode,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,log_lfm_track_playcount,composer_primary_clean,film_is_drama,film_is_horror,film_is_science_fiction,film_is_action,film_is_fantasy,film_is_mystery,film_is_western,film_is_animation,film_is_documentary,film_is_history,film_is_music,film_is_war,film_is_crime,film_is_adventure,film_is_thriller,film_is_tv_movie,film_is_family,film_is_comedy,film_is_romance
649609,Renfield,42103925,3,Transitional Period,Marco Beltrami,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,264.0,6092.0,Transitional Period,4bcVup6Ogh8lMV0qVuO5Mc,https://open.spotify.com/track/4bcVup6Ogh8lMV0qVuO5Mc,1.0,D,minor,7A,100.0,75.0,71.0,18.0,3.0,91.0,12.0,7.0,-14.0,8.714731714015052,Marco Beltrami,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
402897,The Death of Stalin,24254771,8,Back from the Gulags,Christopher Willis,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,468.0,1498.0,Back from the Gulags,3newLTWFzgHrloZT9QqrT3,https://open.spotify.com/track/3newLTWFzgHrloZT9QqrT3,11.0,A#,minor,3A,137.0,60.0,82.0,36.0,23.0,5.0,11.0,14.0,-10.0,7.311886164077165,Christopher Willis,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
758009,Shotgun Wedding,41368263,18,Conspiracy Theory,Pinar Toprak,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.0,18.0,Conspiracy Theory,3Fd4P1vmokfRNNV7j3aIbd,https://open.spotify.com/track/3Fd4P1vmokfRNNV7j3aIbd,0.0,D,major,10B,126.0,19.0,44.0,4.0,35.0,77.0,8.0,4.0,-22.0,2.8903717578961645,Pinar Toprak,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
338958,Disenchanted,40516595,10,Even More Enchanted (Finale),Amy Adams,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1086.0,5413.0,Even More Enchanted (Finale),4ScZ4gAektLCXByWN5CKMR,https://open.spotify.com/track/4ScZ4gAektLCXByWN5CKMR,21.0,D,major,10B,149.0,38.0,20.0,24.0,90.0,0.0,13.0,4.0,-10.0,8.596558746796978,Alan Menken,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
458723,Us,27714048,32,They Can’t Hurt You,Michael Abels,2019,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2254.0,4407.0,They Can't Hurt You,0U8fKM1lwGepkZOs46tt6m,https://open.spotify.com/track/0U8fKM1lwGepkZOs46tt6m,8.0,D,minor,7A,128.0,76.0,58.0,13.0,6.0,0.0,12.0,4.0,-6.0,8.390949464841986,Michael Abels,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
774825,The Ice Age Adventures of Buck Wild,37574398,7,"Orson, the Brainiac",Batu Sener,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24.0,46.0,"Orson, the Brainiac",7coPfPhjktJizALhRMipnC,https://open.spotify.com/track/7coPfPhjktJizALhRMipnC,3.0,G,major,9B,149.0,9.0,15.0,4.0,40.0,12.0,10.0,4.0,-19.0,3.828641396489095,Batu Sener,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
582913,The Room,32303454,3,Sacrifice,Raf Keunen,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.0,36.0,Sacrifice,549lb6aH6S89qoQuBDNOFs,https://open.spotify.com/track/549lb6aH6S89qoQuBDNOFs,0.0,C,minor,5A,67.0,20.0,22.0,6.0,94.0,95.0,8.0,3.0,-19.0,3.58351893845611,Raf Keunen,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
419835,Crooked House,39967037,8,Phone Booth,Hugo de Chaire,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25.0,158.0,Phone Booth,1masf2ACQF5pw536E8tLup,https://open.spotify.com/track/1masf2ACQF5pw536E8tLup,0.0,D,major,10B,116.0,91.0,68.0,89.0,16.0,0.0,26.0,16.0,-2.0,5.062595033026967,Hugo de Chaire,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
167073,Brooklyn,21615408,5,Arriving in America,Michael Brook,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1810.0,5507.0,Arriving in America,3vIxN0EeaIzwZb6wiGPEqj,https://open.spotify.com/track/3vIxN0EeaIzwZb6wiGPEqj,15.0,A#,minor,3A,148.0,68.0,74.0,62.0,8.0,0.0,35.0,29.0,-8.0,8.613775289262481,Michael Brook,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
490003,Won't You Be My Neighbor?,30571010,13,Flying,Jonathan Kirkscey,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,173.0,400.0,Flying,7yTelPuhShs0NyYUrvyLix,https://open.spotify.com/track/7yTelPuhShs0NyYUrvyLix,2.0,D,major,10B,84.0,75.0,82.0,30.0,1.0,0.0,11.0,18.0,-6.0,5.991464547107982,Jonathan Kirkscey,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
